x_m,y_m,sigma_xx_Pa,sigma_xy_Pa,sigma_yy_Pa,von_mises_Pa,sigma_max_principal_Pa,sigma_min_principal_Pa,sigma_tension_Pa,sigma_comp_mag_Pa
2.4745121536e-04,1.5149882931e-04,-4.2732315696e-02,-6.7105373319e+00,-9.3404686652e+00,1.4138436739e+01,3.4712297666e+00,-1.2854430747e+01,3.4712297536e+00,1.2854430747e+01
2.4318649554e-04,1.5298210631e-04,2.3851884697e-01,-6.6196165289e+00,-9.5580708262e+00,1.4261978246e+01,3.5743809896e+00,-1.2893932969e+01,3.5743809767e+00,1.2893932969e+01
2.3889610413e-04,1.5440209500e-04,5.2944845800e-01,-6.5274363123e+00,-9.7694205094e+00,1.4399099686e+01,3.6933380544e+00,-1.2933310106e+01,3.6933381243e+00,1.2933310106e+01
2.3458065851e-04,1.5575865048e-04,8.3123020514e-01,-6.4340450897e+00,-9.9753754894e+00,1.4551165932e+01,3.8290469257e+00,-1.2973192210e+01,3.8290468809e+00,1.2973192210e+01
2.3024072901e-04,1.5705163184e-04,1.1435176109e+00,-6.3386544057e+00,-1.0175476186e+01,1.4716548820e+01,3.9806241353e+00,-1.3012582710e+01,3.9806240655e+00,1.3012582710e+01
2.2587688280e-04,1.5828077003e-04,1.4703705150e+00,-6.2395233424e+00,-1.0369477804e+01,1.4895942481e+01,4.1506227566e+00,-1.3049730046e+01,4.1506229171e+00,1.3049730046e+01
2.2148956375e-04,1.5944566234e-04,1.8099293903e+00,-6.1380283856e+00,-1.0559088832e+01,1.5090463688e+01,4.3379035519e+00,-1.3087062993e+01,4.3379034410e+00,1.3087062993e+01
2.1707924326e-04,1.6054577184e-04,2.1654494668e+00,-6.0327589322e+00,-1.0743638779e+01,1.5300859175e+01,4.5448605072e+00,-1.3123049819e+01,4.5448604236e+00,1.3123049819e+01
2.1264628372e-04,1.6158040650e-04,2.5388516711e+00,-5.9237407507e+00,-1.0923834023e+01,1.5529061903e+01,4.7732168939e+00,-1.3158199246e+01,4.7732175091e+00,1.3158199246e+01
2.0819104659e-04,1.6254872236e-04,2.9294959649e+00,-5.8103404410e+00,-1.1100586251e+01,1.5774945260e+01,5.0221237494e+00,-1.3193214036e+01,5.0221246159e+00,1.3193214036e+01
2.0371389562e-04,1.6344974941e-04,3.3436962556e+00,-5.6908261631e+00,-1.1271362144e+01,1.6040215825e+01,5.2969899802e+00,-1.3224655869e+01,5.2969886654e+00,1.3224655869e+01
1.9921501815e-04,1.6428224574e-04,3.7777068060e+00,-5.5655304553e+00,-1.1440586417e+01,1.6325789173e+01,5.5942589684e+00,-1.3257138579e+01,5.5942544553e+00,1.3257138579e+01
1.9469478447e-04,1.6504467351e-04,4.2397717468e+00,-5.4299772069e+00,-1.1605011826e+01,1.6633371926e+01,5.9206617193e+00,-1.3285901798e+01,5.9206607447e+00,1.3285901798e+01
1.9015329153e-04,1.6573522212e-04,4.7306690299e+00,-5.2862181238e+00,-1.1765976340e+01,1.6965872136e+01,6.2775971896e+00,-1.3312904499e+01,6.2775972240e+00,1.3312904499e+01
1.8559073976e-04,1.6635171988e-04,5.2549968681e+00,-5.1309076599e+00,-1.1923392234e+01,1.7325844527e+01,6.6688833186e+00,-1.3337278684e+01,6.6688834405e+00,1.3337278684e+01
1.8100720361e-04,1.6689147786e-04,5.8179128082e+00,-4.9616461353e+00,-1.2078843116e+01,1.7718117845e+01,7.0990949535e+00,-1.3360025261e+01,7.0991125787e+00,1.3360025261e+01
1.7640283240e-04,1.6735127899e-04,6.4185525432e+00,-4.7749457651e+00,-1.2231897830e+01,1.8141340719e+01,7.5672353041e+00,-1.3380580591e+01,7.5672550972e+00,1.3380580591e+01
1.7177773886e-04,1.6772718330e-04,7.0842556857e+00,-4.5705251721e+00,-1.2378303846e+01,1.8614952359e+01,8.1003236752e+00,-1.3394371836e+01,8.1002789283e+00,1.3394371836e+01
