x_m,y_m,sigma_comp_mag_Pa
-2.2910837301e-04,1.4807893174e-06,4.3509451195e+01
2.2858004657e-04,2.0856069411e-06,2.1081911117e+01
2.1875342184e-04,1.5718039705e-04,1.3288882796e+01
-2.2008641694e-04,9.2540727206e-05,3.5978957393e+01
2.5654986470e-04,2.5276608473e-06,2.2037325758e+01
-2.5691779053e-04,1.4935171816e-06,3.4778100799e+01
2.4865922375e-04,1.4760275170e-04,1.3023491954e+01
-2.3796462122e-04,8.6022417324e-05,3.6454146808e+01
2.7759169226e-04,1.3540964130e-04,1.2725370961e+01
-2.5559663897e-04,7.9008603829e-05,3.7943279625e+01
2.8042762914e-04,3.0650333960e-06,1.9352068495e+01
-2.8063687151e-04,1.5513083001e-06,2.0971562927e+01
3.0466514941e-04,1.1929950940e-04,1.2495670976e+01
-2.7299844561e-04,7.1350364879e-05,3.8398853843e+01
-3.0398094693e-04,1.6945607771e-06,1.7059465545e+01
3.0434814226e-04,3.1442153357e-06,1.7866879805e+01
3.2551930517e-04,1.0415884238e-04,1.2303725713e+01
-2.8760864277e-04,6.4846281662e-05,3.8296763049e+01
-3.4080384371e-05,1.4567543148e-06,5.0939356390e+01
3.2449745948e-04,3.3644846232e-06,1.7075538319e+01
-3.2342494949e-04,1.9283987624e-06,1.7114961363e+01
-3.0263559102e-04,5.7937642155e-05,3.5449518256e+01
3.4525765895e-04,8.5373594065e-05,1.2153066366e+01
-3.4275884442e-04,2.3647024862e-06,1.9971238657e+01
3.4499621813e-04,3.6709833026e-06,1.4918483993e+01
3.6036622535e-04,6.8161269855e-05,1.1964929973e+01
-3.1611251825e-04,5.3550256750e-05,1.6945554012e+01
1.0110936589e-04,1.5284801872e-06,2.3494209398e+01
